"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Emry, Lurker of the Loch","U","R","5765","6.24","816","9.37","328","","50","","70","","120","","206","55.8%",""
"Inga Rune-Eyes","U","U","19311","5.23","5071","6.68","24924","60.7%","4189","59.6%","6553","62.3%","10742","61.3%","14234","60.2%","1.1pp"
"Jin-Gitaxias, Core Augur","U","M","1853","4.17","182","7.17","35","","9","","7","","16","","19","",""
"Tetsuko Umezawa, Fugitive","U","U","17509","4.72","5910","5.73","32711","60.8%","5804","61.9%","8171","60.9%","13975","61.3%","18732","60.4%","0.9pp"
"Ayara, First of Locthwain","B","R","3853","4.20","517","6.61","1034","58.5%","165","","270","60.7%","435","57.9%","608","58.9%","-1.0pp"
"Horobi, Death's Wail","B","R","3297","3.64","427","5.20","1264","57.3%","252","57.9%","310","62.9%","562","60.7%","706","54.7%","6.0pp"
"Seizan, Perverter of Truth","B","R","4868","5.51","501","9.42","87","","8","","29","","37","","49","",""
"Sheoldred, Whispering One","B","M","548","1.41","380","1.43","2346","61.2%","374","59.4%","667","68.4%","1041","65.1%","1307","57.6%","7.5pp"
"Skithiryx, the Blight Dragon","B","M","690","1.57","299","1.66","1692","59.0%","299","55.9%","444","64.0%","743","60.7%","952","57.8%","2.9pp"
"Tymaret, Chosen from Death","B","U","18488","5.03","3337","7.09","14938","59.0%","2554","56.1%","3847","60.8%","6401","59.0%","8519","58.9%","0.1pp"
"Yargle, Glutton of Urborg","B","U","23105","7.78","2152","12.12","259","","42","","57","","99","","160","",""
"Captain Lannery Storm","R","R","2446","2.60","719","3.09","3703","59.0%","644","61.2%","900","60.7%","1544","60.9%","2158","57.6%","3.3pp"
"Ragavan, Nimble Pilferer","R","M","740","1.69","358","1.73","1927","60.6%","383","71.5%","454","56.8%","837","63.6%","1086","58.2%","5.4pp"
"Squee, the Immortal","R","R","4299","4.52","493","7.14","1282","54.2%","214","52.3%","295","50.8%","509","51.5%","777","55.9%","-4.4pp"
"Urabrask the Hidden","R","M","845","1.99","219","2.32","1005","54.7%","176","","235","57.9%","411","56.9%","598","53.0%","3.9pp"
"Valduk, Keeper of the Flame","R","U","20967","6.58","2423","9.72","4510","57.2%","795","58.1%","966","53.3%","1761","55.5%","2750","58.2%","-2.7pp"
"Zada, Hedron Grinder","R","U","21976","6.99","2707","10.17","2469","60.1%","392","58.4%","555","58.7%","947","58.6%","1523","60.9%","-2.3pp"
"Fynn, the Fangbearer","G","U","15548","4.12","2760","5.56","13995","58.0%","2444","62.2%","3306","57.7%","5750","59.6%","8222","56.7%","2.9pp"
"Goreclaw, Terror of Qal Sisma","G","R","2348","2.58","443","3.23","2098","57.1%","363","58.7%","502","54.8%","865","56.4%","1235","57.2%","-0.8pp"
"Renata, Called to the Hunt","G","U","13972","3.90","1444","5.70","6007","55.9%","985","50.8%","1393","54.8%","2378","53.2%","3611","57.4%","-4.3pp"
"Vorinclex, Voice of Hunger","G","M","1219","2.76","121","3.98","209","","43","","43","","86","","122","",""
"Yedora, Grave Gardener","G","R","3693","3.98","369","6.48","939","55.3%","145","","246","56.9%","391","54.0%","547","56.1%","-2.2pp"
"Aegar, the Freezing Flame","UR","U","21995","6.80","3382","9.55","7110","58.7%","1217","58.8%","1840","56.7%","3057","57.5%","4066","59.5%","-2.0pp"
"Arixmethes, Slumbering Isle","UG","R","3858","4.22","524","6.13","1133","56.5%","162","","289","57.1%","451","56.1%","679","56.6%","-0.5pp"
"Atraxa, Praetors' Voice","WUBG","M","1066","2.40","360","2.68","1604","57.7%","265","58.5%","418","67.0%","683","63.7%","924","53.1%","10.6pp"
"Atris, Oracle of Half-Truths","UB","R","2753","2.92","1423","3.16","8092","61.3%","1340","62.3%","2289","65.1%","3629","64.1%","4477","59.2%","4.9pp"
"Aurelia, the Warleader","WR","M","1142","2.71","237","3.11","890","58.0%","141","","199","","340","62.9%","551","54.8%","8.1pp"
"Brudiclad, Telchor Engineer","UR","R","2629","2.86","998","3.30","4932","58.9%","798","58.4%","1286","63.9%","2084","61.8%","2848","56.7%","5.1pp"
"Dina, Soul Steeper","BG","U","22996","7.60","2348","11.47","1601","53.8%","275","53.8%","336","53.3%","611","53.5%","982","54.0%","-0.5pp"
"Ezuri, Claw of Progress","UG","M","1240","2.90","253","3.99","989","55.6%","163","","246","52.4%","409","54.3%","577","56.7%","-2.4pp"
