"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Breaking of the Fellowship","R","C","144241","5.74","21808","8.24","71044","55.9%","11451","54.6%","19002","58.9%","30453","57.3%","40567","54.8%","2.4pp"
"Cast into the Fire","R","C","166421","7.76","21158","11.17","17027","53.7%","2838","50.8%","4527","56.3%","7365","54.2%","9648","53.4%","0.8pp"
"Display of Power","R","R","18589","5.42","2532","8.23","1891","49.3%","268","39.9%","523","51.6%","791","47.7%","1096","50.3%","-2.6pp"
"Éomer, Marshal of Rohan","R","R","6040","1.95","2937","2.00","15678","57.6%","2610","57.7%","3943","59.7%","6553","58.9%","9115","56.5%","2.5pp"
"Éomer of the Riddermark","R","U","26275","2.78","11042","3.05","63321","60.1%","10470","64.1%","16278","64.9%","26748","64.6%","36504","56.7%","7.9pp"
"Erebor Flamesmith","R","C","141766","5.79","26607","7.85","106733","55.9%","18931","55.7%","29132","56.6%","48063","56.2%","58381","55.6%","0.6pp"
"Erkenbrand, Lord of Westfold","R","U","35876","3.77","8915","4.60","40695","56.8%","6654","56.4%","9931","56.9%","16585","56.7%","24007","56.7%","0.0pp"
"Fall of Cair Andros","R","R","10152","3.24","2332","3.85","7715","53.4%","1309","50.6%","2105","55.3%","3414","53.5%","4270","53.3%","0.2pp"
"Fear, Fire, Foes!","R","U","22836","2.47","12590","2.63","74178","59.7%","12848","62.4%","20068","65.3%","32916","64.2%","41504","56.2%","8.0pp"
"Fiery Inscription","R","U","38415","4.28","9645","5.04","42245","56.4%","7371","56.0%","12405","59.4%","19776","58.1%","22145","54.7%","3.4pp"
"Fire of Orthanc","R","C","171028","8.65","20250","12.34","5043","52.6%","746","48.7%","1213","52.0%","1959","50.7%","3088","53.8%","-3.0pp"
"Foray of Orcs","R","U","26634","2.82","12289","3.11","69487","58.9%","11851","60.4%","18869","61.9%","30720","61.3%","39116","57.0%","4.3pp"
"Gimli, Counter of Kills","R","U","40355","4.21","6540","5.84","24869","55.3%","4052","54.3%","6110","56.5%","10162","55.6%","14722","54.9%","0.8pp"
"Gimli's Axe","R","C","169027","8.22","19950","11.85","10478","54.6%","1588","50.4%","2537","54.2%","4125","52.8%","6357","55.7%","-3.0pp"
"Gimli's Fury","R","C","166983","7.80","21777","11.19","23399","55.8%","3430","53.8%","5526","55.1%","8956","54.6%","14434","56.5%","-1.9pp"
"Glóin, Dwarf Emissary","R","R","8975","2.74","2834","3.07","13343","55.9%","2259","56.4%","3358","56.1%","5617","56.2%","7715","55.6%","0.6pp"
"Goblin Fireleaper","R","U","41158","4.12","9807","5.41","49115","57.4%","8740","56.9%","11972","57.3%","20712","57.1%","28420","57.6%","-0.4pp"
"Grishnákh, Brash Instigator","R","U","27203","2.84","11568","3.14","64893","59.5%","11296","62.0%","16396","62.8%","27692","62.5%","37016","57.2%","5.3pp"
